,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,5.75,2.7057581899030048,74.69133557496248,5.270302353633852,1.700911592893392,9.310660171779821,185,233.2173913043478,255
2,7.75,3.141274657157109,-68.80111206588809,6.606619165519139,2.025547666058929,11.914213562373096,162,201.67741935483872,236
3,6.0,2.763953195770684,-85.59466411258138,6.051089714293338,1.6983266086278488,9.121320343559642,175,213.91666666666666,255
4,1.75,1.4927053303604616,-45.00001609038752,2.8284271247461903,0.6998542122237651,3.7071067811865475,167,185.0,208
5,42.0,7.312732791431452,-11.289200730943643,16.11432220467737,7.9768367000156895,46.00304832720494,162,207.20833333333334,255
6,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,199,199.0,199
7,1.0,1.1283791670955126,-18.43495541459913,1.7320508075688772,0.7071067811865476,1.6035533905932737,181,189.75,196
8,22.25,5.322553886092406,8.586344901157338,9.360229037068246,3.19264074772076,21.65685424949238,159,207.80898876404495,255
9,91.75,10.808317548511017,44.02871196716475,13.841899308966584,9.048380157142043,44.9350288425444,162,220.60217983651225,255
10,0.75,0.9772050238058398,0.0,1.632993161855452,0.0,0.5,205,211.0,214
